exchange,id,data_start
BINANCE,BINANCE_SPOT_INS_BTC,2018-01-15
BINANCE,BINANCE_SPOT_MITH_USDT,2019-04-19
BINANCE,BINANCE_SPOT_MATIC_USDT,2019-04-25
BINANCE,BINANCE_SPOT_MATIC_BTC,2019-04-25
BINANCE,BINANCE_SPOT_MATIC_BNB,2019-04-25
BINANCE,BINANCE_SPOT_MDA_ETH,2017-10-05
BINANCE,BINANCE_SPOT_ATOM_USDT,2019-04-28
BINANCE,BINANCE_SPOT_ATOM_BTC,2019-04-28
BINANCE,BINANCE_SPOT_ATOM_BNB,2019-04-28
BINANCE,BINANCE_SPOT_GNT_BTC,2018-04-27
BINANCE,BINANCE_SPOT_GNT_ETH,2018-04-27
BINANCE,BINANCE_SPOT_ATOM_USDC,2019-05-06
BINANCE,BINANCE_SPOT_DNT_ETH,2017-08-22
BINANCE,BINANCE_SPOT_LUN_BTC,2017-12-28
BINANCE,BINANCE_SPOT_PHB_BTC,2019-05-23
BINANCE,BINANCE_SPOT_PHB_TUSD,2019-05-23
BINANCE,BINANCE_SPOT_TFUEL_USDT,2019-05-24
BINANCE,BINANCE_SPOT_TFUEL_BTC,2019-05-24
BINANCE,BINANCE_SPOT_AST_ETH,2017-10-19
BINANCE,BINANCE_SPOT_ARK_ETH,2017-11-01
BINANCE,BINANCE_SPOT_RDN_ETH,2017-11-09
BINANCE,BINANCE_SPOT_BCD_ETH,2017-11-24
BINANCE,BINANCE_SPOT_ONE_USDT,2019-05-28
BINANCE,BINANCE_SPOT_ONE_BTC,2019-05-28
BINANCE,BINANCE_SPOT_ONE_BNB,2019-05-28
BINANCE,BINANCE_SPOT_GTO_ETH,2017-12-18
BINANCE,BINANCE_SPOT_BCH_PAX,2019-01-22
BINANCE,BINANCE_SPOT_TRX_PAX,2019-01-24
BINANCE,BINANCE_SPOT_LTC_PAX,2019-01-24
BINANCE,BINANCE_SPOT_FTM_BTC,2019-06-10
BINANCE,BINANCE_SPOT_FTM_USDT,2019-06-10
BINANCE,BINANCE_SPOT_FTM_BNB,2019-06-10
BINANCE,BINANCE_SPOT_GVT_ETH,2017-11-16
BINANCE,BINANCE_SPOT_AMB_ETH,2017-11-10
BINANCE,BINANCE_SPOT_REQ_ETH,2017-10-27
BINANCE,BINANCE_SPOT_BCPT_ETH,2017-11-14
BINANCE,BINANCE_SPOT_EDO_BTC,2017-12-25
BINANCE,BINANCE_SPOT_EDO_ETH,2017-12-25
BINANCE,BINANCE_SPOT_HOT_BTC,2018-07-24
BINANCE,BINANCE_SPOT_POWR_BNB,2017-11-07
